#detId FED harn
872424360 601 11
872424488 601 11
872424356 601 11
872424357 601 11
872424485 601 11
872424358 601 11
872424486 601 11
872425509 601 13
872425382 601 13
872425510 601 13
872425511 601 13
872425512 601 13
872425252 601 13
872425380 601 13
872425508 601 13
872425253 601 13
872425381 601 13
872425254 601 13
872425255 601 13
872425383 601 13
872425256 601 13
872425384 601 13
872424996 601 13
872425124 601 13
872424997 601 13
872425125 601 13
872425126 601 13
872424998 601 13
872424999 601 13
872425127 601 13
872425000 601 13
872425128 601 13
872426020 601 13
872426148 601 13
872426021 601 13
872426149 601 13
872426150 601 13
872426022 601 13
872426023 601 13
872426151 601 13
872426024 601 13
872426152 601 13
872425764 601 13
872425892 601 13
872425765 601 13
872425893 601 13
872425894 601 13
872425767 601 13
872425895 601 13
872425640 601 13
872425768 601 13
872425896 601 13
872425636 601 13
872425637 601 13
872425638 601 13
872425766 601 13
872425639 601 13
872426788 601 13
872426789 601 13
872426790 601 13
872426791 601 13
872426792 601 13
872426660 601 13
872426661 601 13
872426662 601 13
872426663 601 13
872426664 601 13
872426405 601 13
872426406 601 13
872426534 601 13
872426535 601 13
872426536 601 13
872426276 601 13
872426404 601 13
872426532 601 13
872426277 601 13
872426533 601 13
872426278 601 13
872426279 601 13
872426407 601 13
872426280 601 13
872426408 601 13
872427300 601 12
872427428 601 12
872427301 601 12
872427429 601 12
872427430 601 12
872427303 601 12
872427431 601 12
872427176 601 12
872427304 601 12
872427432 601 12
872427172 601 12
872427045 601 12
872427173 601 12
872427174 601 12
872427302 601 12
872426919 601 12
872427047 601 12
872427175 601 12
872426920 601 12
872427048 601 12
872426916 601 12
872427044 601 12
872426917 601 12
872426918 601 12
872427046 601 12
872427295 601 12
872427423 601 12
872427296 601 12
872427424 601 12
872427425 601 12
872427426 601 12
872427043 601 12
872427171 601 12
872427299 601 12
872427427 601 12
872427167 601 12
872427168 601 12
872427169 601 12
872427297 601 12
872427298 601 12
872427039 601 12
872427040 601 12
872427041 601 12
872427042 601 12
872427170 601 12
872426911 601 12
872426912 601 12
872426913 601 12
872426914 601 12
872426915 601 12
872426143 601 13
872426144 601 13
872426145 601 13
872426146 601 13
872426147 601 13
872425888 601 13
872426016 601 13
872426017 601 13
872426018 601 13
872426019 601 13
872425761 601 13
872425889 601 13
872425762 601 13
872425890 601 13
872425891 601 13
872425631 601 13
872425759 601 13
872425887 601 13
872426015 601 13
872425760 601 13
872425632 601 13
872425633 601 13
872425634 601 13
872425635 601 13
872425763 601 13
872426784 601 13
872426657 601 13
872426785 601 13
872426786 601 13
872426787 601 13
872426527 601 13
872426655 601 13
872426783 601 13
872426528 601 13
872426656 601 13
872426529 601 13
872426530 601 13
872426658 601 13
872426531 601 13
872426659 601 13
872426271 601 13
872426399 601 13
872426272 601 13
